Timestamp,BodyID,Joint_,Position_x_,Position_y_,Position_z_
0.050039308176100625,0,25,-231.0,1325.0,1986.0
0.050039308176100625,0,18,394.0,91.0,5.0
0.050039308176100625,0,19,298.0,572.0,1082.0
0.050039308176100625,0,21,213.0,1412.0,1988.0
0.050039308176100625,0,1,12.0,-168.0,-715.0
0.050039308176100625,0,2,22.0,-379.0,-1442.0
0.050039308176100625,0,3,0.0,-659.0,-1974.0
0.050039308176100625,0,26,8.0,-431.0,-2096.0
0.050039308176100625,0,5,575.0,-205.0,-1411.0
0.050039308176100625,0,6,767.0,334.0,-690.0
0.050039308176100625,0,7,739.0,321.0,-46.0
0.050039308176100625,0,12,-544.0,-344.0,-1432.0
0.050039308176100625,0,13,-706.0,154.0,-702.0
0.050039308176100625,0,14,-683.0,214.0,-48.0
0.058379192872117396,0,0,0.0,0.0,0.0
