frame,head_x,head_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,H2_pixels,Z2_feet
214,988.19,449.52,1000.64,791.82,0.0,0.46,342.3,20.14
215,988.21,444.63,1000.62,788.95,-0.0,0.42,344.33,20.02
216,988.16,438.51,1000.65,786.05,-0.01,0.4,347.54,19.84
217,987.23,433.54,1000.57,783.64,-0.01,0.38,350.09,19.69
218,986.35,430.78,1000.21,782.1,-0.02,0.37,351.32,19.62
219,985.5,429.12,999.94,780.61,-0.02,0.36,351.49,19.62
220,984.45,428.48,999.52,779.2,-0.03,0.35,350.72,19.66
221,983.23,429.5,998.96,778.07,-0.03,0.35,348.57,19.78
222,981.99,431.67,998.34,777.09,-0.04,0.35,345.42,19.96
223,980.63,432.83,997.91,775.37,-0.04,0.34,342.54,20.13
224,978.47,433.14,997.5,773.3,-0.04,0.33,340.16,20.27
225,976.78,433.23,997.36,770.42,-0.04,0.31,337.19,20.45
226,974.7,433.05,997.62,766.4,-0.03,0.31,333.36,20.68
227,972.71,432.17,998.86,760.06,-0.03,0.3,327.89,21.03
228,970.67,430.3,1001.49,749.06,-0.02,0.3,318.76,21.63
229,968.82,427.73,1004.35,733.88,-0.02,0.3,306.14,22.52
230,967.27,424.43,1006.03,716.58,-0.02,0.3,292.14,23.6
231,965.89,421.02,1006.21,699.02,-0.02,0.29,278.0,24.8
232,964.59,417.63,1005.34,682.3,-0.02,0.29,264.67,26.05
233,963.54,414.23,1003.54,667.07,-0.02,0.29,252.84,27.27
234,962.68,410.72,1001.21,655.91,-0.01,0.29,245.19,28.12
235,961.87,407.35,998.66,648.15,-0.01,0.29,240.8,28.63
236,961.24,404.55,995.83,644.45,-0.01,0.29,239.9,28.74
237,960.97,402.48,992.62,644.06,-0.01,0.29,241.58,28.54
238,960.48,400.65,989.3,645.26,-0.01,0.28,244.61,28.19
239,960.05,400.09,985.69,647.19,-0.01,0.28,247.1,27.9
240,959.58,399.83,981.75,648.23,-0.01,0.28,248.4,27.76
241,958.98,400.86,977.12,648.25,-0.0,0.28,247.39,27.87
242,958.38,402.48,972.14,648.61,-0.0,0.28,246.14,28.01
243,957.49,399.98,961.99,641.6,-0.0,0.26,241.62,28.53
244,956.61,400.04,958.85,642.37,0.0,0.25,242.33,28.45
245,955.91,399.94,957.25,642.43,-0.0,0.23,242.49,28.43
246,955.17,399.73,956.7,641.4,-0.0,0.21,241.67,28.53
247,954.35,399.31,956.39,640.39,-0.01,0.18,241.08,28.6
248,953.44,398.48,956.17,639.6,-0.02,0.16,241.12,28.59
249,952.49,396.7,956.06,638.85,-0.03,0.13,242.15,28.47
250,951.11,394.16,955.95,637.83,-0.04,0.11,243.67,28.29
251,949.66,391.56,955.82,636.78,-0.05,0.1,245.21,28.12
252,948.23,389.57,955.71,635.89,-0.06,0.1,246.32,27.99
253,946.72,387.97,955.57,635.17,-0.07,0.1,247.2,27.89
254,945.36,386.94,955.44,634.79,-0.08,0.1,247.85,27.82
255,944.19,386.12,955.24,634.24,-0.08,0.11,248.12,27.79
256,943.13,385.69,954.96,633.51,-0.09,0.12,247.81,27.82
257,941.93,385.71,954.6,632.81,-0.1,0.12,247.09,27.9
258,940.6,385.58,954.37,631.82,-0.1,0.11,246.24,28.0
259,939.34,385.69,954.25,630.58,-0.11,0.11,244.89,28.15
260,937.8,385.63,954.1,628.79,-0.11,0.1,243.16,28.35
261,936.1,385.39,954.09,626.02,-0.1,0.09,240.64,28.65
262,934.09,384.93,954.23,622.34,-0.1,0.09,237.4,29.04
263,932.23,384.11,954.56,616.88,-0.1,0.09,232.77,29.62
264,930.32,383.4,954.75,609.54,-0.09,0.09,226.14,30.49
265,928.43,382.36,954.68,599.55,-0.09,0.09,217.19,31.74
266,926.68,381.32,954.3,587.14,-0.09,0.09,205.81,33.5
267,924.94,379.86,953.44,575.04,-0.09,0.09,195.18,35.32
268,923.35,378.41,951.99,566.7,-0.09,0.09,188.29,36.62
269,921.98,376.65,950.27,561.4,-0.09,0.09,184.75,37.32
270,920.99,375.02,948.41,558.88,-0.09,0.09,183.86,37.5
271,920.05,373.75,946.25,558.93,-0.09,0.09,185.18,37.23
272,919.42,372.76,944.0,560.49,-0.09,0.09,187.73,36.73
273,918.81,372.08,941.65,563.11,-0.09,0.09,191.03,36.09
274,918.35,371.83,939.15,565.79,-0.09,0.09,193.96,35.55
275,917.92,371.52,936.24,566.53,-0.09,0.09,195.01,35.36
276,917.3,371.47,932.98,566.07,-0.09,0.08,194.6,35.43
277,916.73,371.34,929.13,564.66,-0.09,0.08,193.32,35.66
278,916.03,371.34,924.95,563.34,-0.09,0.08,192.01,35.91
279,915.28,371.43,920.36,563.05,-0.09,0.08,191.62,35.98
280,914.62,371.4,916.12,564.11,-0.09,0.07,192.71,35.78
281,913.81,371.05,913.46,565.12,-0.09,0.06,194.07,35.53
282,912.96,370.24,912.54,564.86,-0.09,0.05,194.62,35.43
283,912.19,369.12,912.49,563.41,-0.09,0.04,194.29,35.49
284,911.63,367.7,913.05,561.17,-0.1,0.02,193.47,35.64
285,911.29,366.01,913.58,558.87,-0.11,0.0,192.86,35.75
286,910.97,364.41,913.91,557.53,-0.12,-0.01,193.12,35.7
287,910.59,362.79,914.18,556.94,-0.13,-0.02,194.15,35.51
288,910.39,361.37,914.4,556.67,-0.14,-0.02,195.3,35.3
289,910.13,360.48,914.54,556.37,-0.14,-0.02,195.89,35.2
290,909.93,359.69,914.62,555.99,-0.14,-0.02,196.29,35.12
291,909.7,359.46,914.58,555.86,-0.14,-0.01,196.4,35.11
292,909.51,359.55,914.5,555.83,-0.14,-0.01,196.28,35.13
293,909.32,359.69,914.37,555.85,-0.14,-0.0,196.16,35.15
294,908.97,359.69,914.26,555.92,-0.14,-0.0,196.23,35.14
295,908.53,359.8,913.98,555.86,-0.14,-0.01,196.07,35.16
296,908.09,359.8,913.66,555.39,-0.14,-0.02,195.59,35.25
297,907.46,359.83,913.4,554.65,-0.13,-0.02,194.81,35.39
298,906.84,359.71,913.26,553.16,-0.13,-0.02,193.45,35.64
299,906.35,359.81,913.24,550.64,-0.13,-0.02,190.84,36.13
300,905.68,359.72,913.3,546.43,-0.12,-0.01,186.71,36.93
301,905.0,359.34,913.39,540.74,-0.12,-0.01,181.41,38.01
302,904.22,358.81,913.88,533.04,-0.12,-0.01,174.23,39.57
303,903.5,358.02,914.23,524.11,-0.12,-0.01,166.09,41.51
304,902.59,357.16,914.49,517.44,-0.12,-0.01,160.28,43.02
305,902.19,356.12,914.61,513.41,-0.12,-0.01,157.29,43.83
306,901.89,355.31,914.91,511.93,-0.12,-0.01,156.62,44.02
307,901.63,354.59,915.42,512.43,-0.12,-0.01,157.84,43.68
308,901.34,354.07,915.93,516.59,-0.12,-0.01,162.52,42.42
309,901.32,353.79,916.48,523.37,-0.12,-0.01,169.58,40.66
310,901.27,353.8,917.16,529.18,-0.12,-0.01,175.38,39.31
311,901.17,353.94,917.33,532.43,-0.12,-0.01,178.49,38.63
312,901.11,353.92,917.38,534.0,-0.12,-0.01,180.08,38.29
313,901.06,354.09,917.36,534.82,-0.12,-0.01,180.74,38.15
314,901.03,354.15,917.36,535.31,-0.12,-0.01,181.16,38.06
315,900.94,354.24,917.47,534.86,-0.12,-0.01,180.61,38.17
316,900.92,354.26,917.73,534.8,-0.12,-0.01,180.54,38.19
317,900.91,354.27,918.03,535.09,-0.12,-0.01,180.83,38.13
318,900.93,354.21,918.23,535.08,-0.12,-0.01,180.87,38.12
319,900.99,354.17,918.34,535.13,-0.12,-0.01,180.96,38.1
320,901.08,354.14,918.37,535.18,-0.12,-0.01,181.03,38.09
321,901.04,354.06,918.52,535.47,-0.12,-0.01,181.41,38.01
322,900.93,353.98,918.5,535.51,-0.12,-0.01,181.53,37.98
323,900.99,353.91,918.4,535.43,-0.12,-0.01,181.52,37.98
324,900.93,353.89,918.37,535.26,-0.12,-0.01,181.36,38.02
325,900.85,353.87,918.36,535.19,-0.12,-0.01,181.31,38.03
326,900.77,353.81,918.36,535.19,-0.12,-0.01,181.38,38.01
327,900.68,353.75,918.17,535.05,-0.12,-0.01,181.3,38.03
328,900.58,353.69,918.09,534.86,-0.12,-0.01,181.17,38.06
329,900.42,353.6,918.04,534.64,-0.12,-0.01,181.04,38.08
330,900.33,353.57,917.98,534.52,-0.12,-0.01,180.95,38.1
